id,provinsi_kabupaten_kota,kode_wilayah
412,KAB. ASAHAN,12.09
413,KAB. TOBA,12.12
414,KOTA MEDAN,12.71
415,KOTA TEBING TINGGI,12.76
416,KAB. SIJUNJUNG,13.03
417,KAB. TANAH DATAR,13.04
418,KAB. PADANG PARIAMAN,13.05
419,KAB. AGAM,13.06
420,KAB. LIMA PULUH KOTA,13.07
421,KOTA SAWAHLUNTO,13.73
422,KAB. INDRAGIRI HULU,14.02
423,KAB. INDRAGIRI HILIR,14.04
424,KAB. KEPULAUAN MERANTI,14.10
425,KAB.  MERANGIN,15.02
426,KAB. TEBO,15.09
427,KOTA JAMBI,15.71
428,SUMATERA SELATAN,16
429,KAB. MUARA ENIM,16.03
430,KAB. OGAN KOMERING ULU SELATAN,16.09
431,KOTA PAGAR ALAM,16.72
432,BENGKULU,17
433,KAB. BENGKULU SELATAN,17.01
434,KAB. REJANG LEBONG,17.02
435,KAB. BENGKULU UTARA,17.03
436,KAB. MUKO MUKO,17.06
437,KOTA BENGKULU,17.71
438,KAB. LAMPUNG BARAT,18.04
439,KAB. PESAWARAN,18.09
440,KAB. TULANG BAWANG BARAT,18.12
441,KOTA BANDAR LAMPUNG,18.71
442,KOTA METRO,18.72
443,KOTA PANGKAL PINANG,19.71
444,KAB. TAMBRAUW,96.04
445,KOTA SORONG,96.71
446,KAB. ADM. KEP. SERIBU,31.01
447,KAB. BANDUNG BARAT,32.17
448,KAB. BLITAR,35.05
449,KOTA BIMA,52.72
450,KAB. NGADA,53.09
451,KAB. KOTABARU,63.02
452,KAB. MALINAU,65.02
453,KAB. TOLI TOLI,72.04
454,KAB. JENEPONTO,73.04
455,KAB. BUTON,74.04
456,KAB. POHUWATO,75.04
457,KAB. MAMASA,76.03
458,KAB. HALMAHERA SELATAN,82.04
459,KOTA TIDORE KEPULAUAN,82.72
460,KAB. MANOKWARI SELATAN,92.11
461,KAB. MAYBRAT,96.05
462,KOTA ADM. JAKARTA TIMUR,31.75
463,KAB. SUMEDANG,32.11
464,KOTA BEKASI,32.75
465,KAB. WONOSOBO,33.07
466,KOTA MAGELANG,33.71
467,KAB. PACITAN,35.01
468,KAB. BOJONEGORO,35.22
469,KOTA SERANG,36.73
470,KAB. KOTAWARINGIN TIMUR,62.02
471,KOTA PALANGKARAYA,62.71
472,KOTA KOTAMOBAGU,71.74
473,KAB. SIGI,72.10
474,KAB. BONE,73.08
475,KAB. LUWU TIMUR,73.24
476,KAB. WAKATOBI,74.07
477,JAWA BARAT,32
478,KAB. MAJALENGKA,32.10
479,KAB. TULUNGAGUNG,35.04
480,KAB. PAMEKASAN,35.28
481,KAB. LOMBOK BARAT,52.01
482,KOTA PONTIANAK,61.71
483,KAB. CIAMIS,32.07
484,KAB. KARANGANYAR,33.13
485,KAB. LUMAJANG,35.08
486,KAB. TABANAN,51.02
487,KAB. LOMBOK TIMUR,52.03
488,KAB. SABU RAIJUA,53.20
489,KAB. SEKADAU,61.09
490,KOTA BANJARBARU,63.72
